index,timestamp,width,height,frame_id,filename,angle,torque,speed,lat,long,alt,
25:21.7,1.48E+18,640,480,center_camera,center/1479425121708097496.jpg,0.008726646,0.1875,13.04316007,37.4783783,-122.4127655,7.259022338,
25:21.8,1.48E+18,640,480,center_camera,center/1479425121808211717.jpg,0.008726646,0.156555183,13.06254069,37.4783783,-122.4127808,7.274359972,
25:21.9,1.48E+18,640,480,center_camera,center/1479425121908150178.jpg,0.008726646,0.218596883,13.0999863,37.47837448,-122.412796,7.287472857,
25:22.1,1.48E+18,640,480,center_camera,center/1479425122058229100.jpg,0.008726646,0.31211802,13.12777805,37.47837067,-122.4128189,7.278570564,
25:22.2,1.48E+18,640,480,center_camera,center/1479425122158196623.jpg,0.008726646,0.25,13.12222195,37.47836685,-122.4128342,7.294144415,
25:22.3,1.48E+18,640,480,center_camera,center/1479425122258281184.jpg,0.008726646,0.0625,13.11111069,37.47836685,-122.4128494,7.289666947,
25:22.3,1.48E+18,640,480,center_camera,center/1479425122308188998.jpg,0.006981317,0.125,13.11797396,37.47836304,-122.4128571,7.293899023,
25:22.4,1.48E+18,640,480,center_camera,center/1479425122408239859.jpg,0.005235988,-0.0625,13.12777805,37.47835922,-122.4128723,7.302441973,
25:22.5,1.48E+18,640,480,center_camera,center/1479425122508260468.jpg,0.001745329,-0.1875,13.12801311,37.47835922,-122.4128876,7.324811936,
25:22.7,1.48E+18,640,480,center_camera,center/1479425122658301360.jpg,-0.008636194,-0.246760917,13.07528776,37.47835541,-122.4129028,7.347223316,
25:22.8,1.48E+18,640,480,center_camera,center/1479425122758400909.jpg,-0.012114345,-0.3125,13.06127527,37.47835159,-122.4129181,7.339220479,
25:22.9,1.48E+18,640,480,center_camera,center/1479425122858363690.jpg,-0.015707964,-0.379202326,13.05870691,37.47834778,-122.4129333,7.34398016,
25:22.9,1.48E+18,640,480,center_camera,center/1479425122908415102.jpg,-0.017453292,-0.1875,13.04602176,37.47834778,-122.412941,7.345997115,
25:23.0,1.48E+18,640,480,center_camera,center/1479425123008401207.jpg,-0.022689281,-0.4375,13.02820566,37.47834396,-122.4129562,7.358828401,
25:23.1,1.48E+18,640,480,center_camera,center/1479425123108338186.jpg,-0.02617994,-0.375,12.99607681,37.47834396,-122.4129715,7.37187529,
25:23.3,1.48E+18,640,480,center_camera,center/1479425123258374750.jpg,-0.034557083,-0.618742187,12.96194543,37.47834015,-122.4129944,7.378550614,
25:23.4,1.48E+18,640,480,center_camera,center/1479425123358429579.jpg,-0.048682091,-0.555798963,12.94999981,37.47833633,-122.4130096,7.398380738,
25:23.5,1.48E+18,640,480,center_camera,center/1479425123458488153.jpg,-0.055461737,-1.027692911,12.93148352,37.47833252,-122.4130249,7.393564233,
25:23.5,1.48E+18,640,480,center_camera,center/1479425123508454544.jpg,-0.089142836,-0.850975911,12.91944408,37.47833252,-122.4130322,7.400664079,
25:23.6,1.48E+18,640,480,center_camera,center/1479425123558447167.jpg,-0.118945879,-1,12.90656646,37.47833252,-122.4130325,7.410044408,207 448|201 568|232 569|237 450
